Nr	ID	Orig	Pair	Site	Bed	Soil	Alt	LL09a	BMtL10mg	BMS10mg	H10f	tBB10d	tSB10d	dB10d
106	ID106	O1800m	Lumn	Chla	bed04	gra	600m	0.3	123.7	0	0	NA	NA	0
107	ID107	O1200m	Hein	Chla	bed04	gra	600m	0.5	260.6	178.7	2	146	170	24
108	ID108	O1800m	Chat	Chla	bed04	gra	600m	0.5	620.4	0	0	NA	NA	0
109	ID109	O1200m	Hasl	Chla	bed04	gra	600m	0.6	29	0	0	154	NA	0
110	ID110	O1800m	Lenk	Chla	bed04	gra	600m	1.1	289.3	971.8	7	138	162	24
111	ID111	O1200m	Lenk	Chla	bed04	gra	600m	0.3	99.1	0	0	NA	NA	0
112	ID112	O1800m	Brie	Chla	bed04	gra	600m	1.2	26.2	697	3	146	162	16
113	ID113	O1200m	Lumn	Boef	bed05	sol	600m	0.4	NA	NA	NA	NA	NA	NA
114	ID114	O1800m	Ober	Boef	bed05	sol	600m	1.4	1821.5	2255	12	146	162	16
115	ID115	O1200m	Luts	Boef	bed05	sol	600m	0.7	739.1	2918.2	11	138	162	24
116	ID116	O1800m	Hein	Boef	bed05	sol	600m	0.4	NA	NA	NA	NA	NA	NA
117	ID117	O1200m	Chat	Boef	bed05	sol	600m	1	1467.1	2134.9	5	162	192	30
118	ID118	O1800m	Luts	Boef	bed05	sol	600m	0.5	209.6	0	0	NA	NA	0
119	ID119	O1200m	Sach	Boef	bed05	sol	600m	0.6	366.7	186	1	NA	192	NA
120	ID120	O1800m	Flue	Boef	bed05	sol	600m	1.2	149.9	822	8	146	170	24
121	ID121	O1200m	Flue	Boef	bed05	sol	600m	1.1	89.9	1514.2	9	146	162	16
122	ID122	O1800m	Sach	Boef	bed05	sol	600m	0.7	43.9	0	0	NA	NA	0
123	ID123	O1200m	Reic	Boef	bed05	sol	600m	1	77	0	0	138	162	0
124	ID124	O1800m	Bex	Boef	bed05	sol	600m	2	675.4	4732.4	21	138	162	24
125	ID125	O1200m	Bex	Boef	bed05	sol	600m	0.9	167.4	1612.7	7	138	162	24
126	ID126	O1800m	Hasl	Boef	bed05	sol	600m	1.1	599.4	854.4	4	138	170	32
127	ID127	O1200m	Brie	Boef	bed05	sol	600m	0.9	898.6	2356.9	8	146	170	24
128	ID128	O1800m	Reic	Boef	bed05	sol	600m	0.5	286.9	0	0	NA	NA	0
129	ID129	O1200m	Vatt	Boef	bed05	sol	600m	0.4	91.9	0	0	NA	NA	0
130	ID130	O1800m	Lenk	Boef	bed05	sol	600m	0.8	805.3	913.2	8	138	154	16
131	ID131	O1200m	Hein	Boef	bed05	sol	600m	0.7	NA	NA	NA	NA	NA	NA
132	ID132	O1800m	Chat	Boef	bed05	sol	600m	1.5	254.4	241.9	2	146	154	8
133	ID133	O1200m	Hasl	Boef	bed05	sol	600m	0.5	426.7	0	0	NA	NA	0
134	ID134	O1800m	Brie	Boef	bed05	sol	600m	0.9	370	3659.3	13	138	162	24
135	ID135	O1200m	Frut	Boef	bed05	sol	600m	1.5	1965.4	2040.9	17	138	146	8
136	ID136	O1800m	Lumn	Boef	bed05	sol	600m	0.5	57.8	0	0	NA	NA	0
137	ID137	O1200m	Lenk	Boef	bed05	sol	600m	0.9	1225.2	2438.8	9	138	146	8
138	ID138	O1800m	Frut	Boef	bed05	sol	600m	0.7	161	532.5	4	146	162	16
139	ID139	O1200m	Ober	Boef	bed05	sol	600m	1.2	725.7	2179.2	16	138	162	24
140	ID140	O1800m	Vatt	Boef	bed05	sol	600m	0.5	189.4	915.6	5	138	170	32
141	ID141	O1200m	Flue	Boef	bed06	sol	600m	0.9	178.3	444	2	146	154	8
142	ID142	O1800m	Ober	Boef	bed06	sol	600m	1.9	458.7	5324.3	11	138	162	24
143	ID143	O1200m	Chat	Boef	bed06	sol	600m	1.5	1567.3	5290.9	18	170	192	22
144	ID144	O1800m	Luts	Boef	bed06	sol	600m	0.7	492.1	190.2	2	NA	NA	NA
145	ID145	O1200m	Luts	Boef	bed06	sol	600m	0.5	443.8	0	0	NA	NA	0
146	ID146	O1800m	Hasl	Boef	bed06	sol	600m	1.2	823.8	2544.6	7	146	170	24
147	ID147	O1200m	Bex	Boef	bed06	sol	600m	0.7	452	1666.1	6	146	170	24
